author,text,time,votes
@AmadBinHasan,Seharusnya  pak prabowo fokus dulu hukuman mati para koroptor kropsi supaya negara ini bisa makmur kalau negara ini sudah makmur baru mbg bisa dijalankan itupun harus didata kembali yang layak aja yang diberikan mbg.,3 weeks ago,0
@Scandal_Net,"Baru menjabat sudah nguras duit hasil pajak rakyat hampir 400T,dia  punya kekayaan triliyunan masih tamak,rakus serakah.",3 weeks ago,57
@stevendaniel8466,Proyek min bukan program,3 weeks ago,0
@InunkParallone,Mendingan seluruh pendidikan di gratisin sih ..,3 weeks ago,0
@andhdjfjcnhrjr,Kwkwkwk,3 weeks ago,0
@wiry7428,Kelamaan. Praroro 1/2 periode saja,3 weeks ago,3
@dolguldur2514,"corone piye, lah wong mbg kopdes merah putih utk lumbung suara 2029, mau gak mau p3k mbg dan pegawai kopdes milih pororo atau ngganggur nanti😅",3 weeks ago,0
@ZakiahMulyani-yr4gx,MBG buat stunting aja sih,3 weeks ago,0
@whattimeisit9627,No no ya dua periodeee,3 weeks ago,0
@krisdiantoadesaputro5512, @whattimeisit9627  kyknya sebelum masa jabatan abis negara ini udh langsung miskin,3 weeks ago,3
@dont_be_a_licker_or_traitor,🗣 M8G ( Miskin 8anyak Gaya ) di saat defisit anggaran dan hutang jatuh tempo dan krisis  energi ❓🤔,3 weeks ago,1
@warungkopi1012,"yg tool y tempo mbg kan bisa dinikmati guru juga baik honorer naupun guru pns, juga orang orang yg bekerja di mbg g usah pusing beli lauk pauk kaya kami ni.",3 weeks ago (edited),0
@ArkanRohul,Akibat ketamakan kelompok yg berkuasa,3 weeks ago,0
@mrapolo9946,Semoga program mbg kekal abadi tolong pak agar tak tekor naikan pajak seuruh rakyat pasti semua setuju hidup mbg,3 weeks ago,0
@whatzittooya144,"Kenyang yang makan, yang nganggur masih jutaan😅",3 weeks ago,15
@rahadiansyahalfaro4941,"Agenda politik,MBG jelas2 bisnis,bukan program pemerintah",3 weeks ago,1
@AnakSekolah,"Dana Pemda, Dana Desa, Dana Kecamatan, dam Polres pun dipotong gara gara MBG. Luhar Biasa.",3 weeks ago,22
@EkoSan-f4r,MBG jalan terus walaupun Indonesia bangkrut,3 weeks ago,24
@terangbulan1644,"Setuju min.., dgn kata2: ""Program ambisius""😢",3 weeks ago,4
@ImamSusanto-s7v,MBG AGAR PUNYA ARTI SESUAI DGN NAMANYA YAITU BERGIZI..MESTINYA HARUS DI TAMBAH SETIDAKNYA DUA KALI LIPAT BIAR MAKANAN YG DI SAJIKAN BENAR2 BERGIZI..KALO SEMUA PENERIMA MANFAAT SDH MENERIMA SEMUA KURANG LEBIH 420 T MAKA HARUS DITAMBAH DUA KALI LIPAT YAITU 840 T...JGN JUSTRU DI EFESIENSI...HARUS DI TAMBAH..BIAR KITA CEPAT BANGKRUTNYA...,3 weeks ago (edited),4
@antumwae6658,"MBG=Untuk si Miskin????
Si Omon ngawurnya kelewatan.
MBG= Makan Makan Politik???
Iyessss.....
Semuanya istimewah.....
Anggaran 20rb..netes 5rb......
Amsyonggggg",3 weeks ago,14
@nanangrahman9597,"Ga peduli bos, mau matahari terbit dari barat MBG harus tetap jalan dong, kan ini wahyu turun langsunh ke pemimpin konoha",3 weeks ago,0
@ss56132,"Bosen lihat berita tempo, isinya yg jelek-jelek doang tentang pemerintah... Tapi yang bagus nya gk pernah apresiasi... Heran...saya...",3 weeks ago,1
@cengbuu14,1 sppg nyaris meraup keuntungan 6jt per hari,3 weeks ago,1
@mamanpd5341,Gue dukung MBG. Evaluasi terus menerus. Tapi mohon Tempo hasil riset jangan dari Celios saja. Perlu sumber lain.,3 weeks ago (edited),0
@kiagengreksapati,"Gak bakal diberhentikan MBG, karena jadi lahan bagi-bagi cuan ke parpol pendukung, utamanya ke partai pak pres sendiri.",3 weeks ago,22
@SlashM3tal,"0:05 Cara makan MBG yg bener, dicium dulu, basi gak. Anak kecil aje gak percaya... 🥸",3 weeks ago,6
@lloll69,Program buffet ambil duit,3 weeks ago,0
@dyx_z,"Bukan diefisiensi, tapi distopppp",3 weeks ago,3
@jonashikari868,"Inilah salah satu program pemerintah yg dieksekusi tanpa pemikiran, istilah jawanya.... KEPRUK NDISIK PIKIR KERI.
Tidak bermanfaat untuk pertumbuhan ekonomi nasional, tpi sangat bermanfaat utk meningkatkn kekayaan para pemilik SPPG (para politisi), apalagi dg insentif 6 jt /hari utk tiap SPPG.",3 weeks ago,40
@IkhsanUdin-e5m,Salah pilih pemilu,3 weeks ago,0
@IsmaPutri-r2x,​ @IkhsanUdin-e5m sory yea Bree gua dari awal GHA pilih si gemoy....gua udh tau si gemoy GHA mampu pinpin rakyat,3 weeks ago,2
@fadliayatullah,"Anaknay bisa makan beracun 1x sehari, orang tuanya dirumahkan",3 weeks ago,0
@galihbrata2588,Yg dipotong dana penting atau dana hura hura bang? Yg ribut ini sebenarnya rakyat atau perwakilan rakyat yg jatahnya kepangkas Habis?,3 weeks ago,0
@Landung-y3z,"​​ @galihbrata2588 
Dana pendidikan dipotong sekitar 223 triliun.dana kesehatan juga dipotong sampai KIS pada diblokir.kurang penting apa.orang miskin mana yang mampu bayar sakit apalagi sampai operasi bisa puluhan juta",3 weeks ago (edited),4
@APBNdefisit_pajakdown,"Dampak negatif MBG bagi ekonomi & sosial =
1. Defisit APBN semakin dalam
2. Hutang Negara semakin naik
3. Pemborosan Sistematis
4. Mbg malay 2.9 T vs franc 25 T, india 21 T & konoha 335 T pertahun
5. Penyebab kenaikan tarif pajak & menjadi penyebab penambahan object pajak
6. Mematikan rezeki pedagang kecil yang jual disekolah
7.Dapur MBG blm bersertifikat HACCP
8.Membuat program utama prioritas terbengkalai
9.Ladang basah bagi koruptor & rawan bocor
10.Keamanan pangan kurang terjamin karena dapur mbg belum bersertifikat internasional.
11.Dana Transfer ke daerah menjadi menurun & menyebabkan kenaikan PBB di berbagai daerah
12.Dampak Keracunan massal yang minim empati dr pejabat, pemerintah lepas tangan atas peristiwa keracunan masal & tetap menggeber program MBG dgn segala resikonya
13.Hanya memperkaya orang orang kaya saja yakni pemilik SPPG. Tidak menyelesaikan akar persoalan bangsa yaitu Kemiskinan, Pengangguran, SDM, Infrastruktur, Jaminan Sosial , Malnutrisi,Ketahanan Pangan, Pemberantasan Judi Online,Korupsi dll",3 weeks ago,2
@Utang10.000T_bangkrut,"Proyek KKN BGN (badan garong nasional) dibackup mati matian oleh rezim. Anggota DPR, Polri, TNI & Kejaksaan sengaja dilibatkan agar proyek ini tidak ada yang mengendus apalagi mengacak acak. Buktinya 33.000 angka keracunan tak ada satupun pihak yang bertanggung jawab serta diproses hukum*,, *kalau terjadi dijepang misal ada 100 siswa-siswi  keracunan maka minimal seorang Menteri mengundurkan diri, & pemilik dapur sudah diblacklist total. akan tetapi berbeda di konoha, para oknum pejabat saling membackup agar proyek ini jalan terus",11 days ago,1
@ridwanpurwanto4190,"Yg bagus nya 2 berita 98 nya berita jelek, buka mata 😂",3 weeks ago,0
@muhammadrizqi6834,"Namanya juga tempo, kan yg biayain George Soros",3 weeks ago,0
@ridhobaihaqi144,"​ @muhammadrizqi6834 
Namanya juga antara, tvri, rri, kiky khoto, naratif, news cinema, gnfi, goodstats, indonesiabaikid, amanda channel, jojon pulang sekolah, perspektif, sudit pandang, doczon, latem, angka & data channel, tarik tuas, sea5, the wanderer, sunarti indrawan, kang onoy, winwannur, garudajapan, mass iky, zainalstory, mister fakta,  mr. Bas, ninja sawit tv, dsb.

Kanal2 propaganda pemerintah dibawah biro sensor dan propaganda ""komdigi"".",3 weeks ago,0
@muhammadrizqi6834,Mana mau mereka bergerak kalau tidak ada anggarannya😂,3 weeks ago,0
@Utang10.000T_bangkrut,"Proyek KKN BGN (badan garong nasional) dibackup mati matian oleh rezim. Anggota DPR, Polri, TNI & Kejaksaan sengaja dilibatkan agar proyek ini tidak ada yang mengendus apalagi mengacak acak. Buktinya 33.000 angka keracunan tak ada satupun pihak yang bertanggung jawab serta diproses hukum*,, *kalau terjadi dijepang misal ada 100 siswa-siswi  keracunan maka minimal seorang Menteri mengundurkan diri, & pemilik dapur sudah diblacklist total. akan tetapi berbeda di konoha, para oknum pejabat saling membackup agar proyek ini jalan terus",11 days ago,0
@KursusAcEPTLPA,Perlu dijadikan prosedur standar nasional cara makan MBG. 😅,3 weeks ago,3
@rollersoze,"banyak kasus keraacunan, malah keracunannya di Jakarta. kalau punya anak mending kalau di kasih MBG bawa pulang atau buang saja",3 weeks ago,0
@Utang10.000T_bangkrut,"Proyek KKN BGN (badan garong nasional) dibackup mati matian oleh rezim. Anggota DPR, Polri, TNI & Kejaksaan sengaja dilibatkan agar proyek ini tidak ada yang mengendus apalagi mengacak acak. Buktinya 33.000 angka keracunan tak ada satupun pihak yang bertanggung jawab serta diproses hukum*,, *kalau terjadi dijepang misal ada 100 siswa-siswi  keracunan maka minimal seorang Menteri mengundurkan diri, & pemilik dapur sudah diblacklist total. akan tetapi berbeda di konoha, para oknum pejabat saling membackup agar proyek ini jalan terus",11 days ago,1
@ridhobaihaqi144,"Waspada Tempo!
Di grup chat buzzer lagi masif untuk serang yang kontra dengan pemerintah.

Salah satu narasi mereka... ""cendol lima ons"" yang merupakan olokan kepada CELIOS.",3 weeks ago,1
@reva8811,"hasil dr tambang batubara ,nikel ,freeport ,kelapa sawit kemana???",3 weeks ago,1
@choiron_23,mana mau prabowo mengurangi anggaran mbg,3 weeks ago,34
@haloneeto,Jangan ganggu MBG !! minta di siram air keras lagi celios,3 weeks ago,1
@sergio.jr.neno13,Yg 1jt berlimpah ruah ratusan juta org kesusahan,3 weeks ago,1
@win_kaya2024,Bu bar 2030,3 weeks ago,1
@AnggelPutraPratama28,"MBG itu adalah program penting untuk pertumbuhan anak bangsa.
Harusnya pajak dinaikkan demi mendapat anggaran baru.",3 weeks ago,1
@gd1529,Saya lebih percaya dengan bennix daripada tempo Media bayaran soros,3 weeks ago,0
@boyz7730,"Sudah berapa sekolah yang menolak MBG dalam bulan ini? Kemana makanan itu berakhir, tempat sampah kah?",3 weeks ago (edited),1
@achmadnk2605,"Menurutku dana BOS lebih masuk akal dan adil daripada MBG karena dana BOS hanya diperuntukkan bagi siswa siswi dari keluarga kurang mampu, tinggal pengawasan nya saja lebih ditingkatkan agar lebih tepat sasaran.",3 weeks ago,0
@Oreogus,Kemenag 75T itu buat apa saja ya gess? Saya yg cuma petani masih... Damn!!,3 weeks ago,0
@josephwu2081,"Walaupun negara harus bangkruk pun ,MBG sudah harga mati!!!.harus tetap berjalan.
Klau pun harus ""menjual"" harga diri negara itupun pemangku kepentingan lakukan demi MBG..ngerii banget negeri ni",3 weeks ago,9
@tomodachidisco,Pemerintah wajib mengalokasikan anggaran pendidikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN). Ternyata cuma -+11%? Sisanya MBG? Wow,3 weeks ago,36
@tomodachidisco,"Masih ingat janji2 kampanye beliau apa saja? Selain MBG? Tolong yg pilih beliau, tagih janjinya.",3 weeks ago,4
@narakutv869,Hidup sawit😅,3 weeks ago,0
@private11-g3i,"Jika parpol dan anggota Dpr diam terkait program² yang menggerus fiskal negara karena tersandera oleh politik, maka hanya Masyarakat sipil yang peduli nasib bangsa dan Mahasiswa lah yang bisa menghentikan kekacauan ini",3 weeks ago,13
@CASTLEMAN739,SEMANGAT MIN,3 weeks ago,19
@widiatmopetrus3444,"Ngapain hemat, hutangan mimpah dari jepang, korea, rusia & perancis, toh yg lunasi anak cucu yg sekarang dpt fasilitas MBG.",3 weeks ago,1
@PinanDhityo,Bgn awal mula dibentuk zaman jokowi,3 weeks ago,3
@wisfina,"MBG Mendesak, rakyat sesak napas 😂",3 weeks ago,12
@wiry7428,suap/peternakan pemilih buat 2029,3 weeks ago,5
@APBNdefisit_pajakdown,"Dampak negatif MBG bagi ekonomi & sosial =
1. Defisit APBN semakin dalam
2. Hutang Negara semakin naik
3. Pemborosan Sistematis
4. Mbg malay 2.9 T vs franc 25 T, india 21 T & konoha 335 T pertahun
5. Penyebab kenaikan tarif pajak & menjadi penyebab penambahan object pajak
6. Mematikan rezeki pedagang kecil yang jual disekolah
7.Dapur MBG blm bersertifikat HACCP
8.Membuat program utama prioritas terbengkalai
9.Ladang basah bagi koruptor & rawan bocor
10.Keamanan pangan kurang terjamin karena dapur mbg belum bersertifikat internasional.
11.Dana Transfer ke daerah menjadi menurun & menyebabkan kenaikan PBB di berbagai daerah
12.Dampak Keracunan massal yang minim empati dr pejabat, pemerintah lepas tangan atas peristiwa keracunan masal & tetap menggeber program MBG dgn segala resikonya
13.Hanya memperkaya orang orang kaya saja yakni pemilik SPPG. Tidak menyelesaikan akar persoalan bangsa yaitu Kemiskinan, Pengangguran, SDM, Infrastruktur, Jaminan Sosial , Malnutrisi,Ketahanan Pangan, Pemberantasan Judi Online,Korupsi dll",3 weeks ago,4
@WahyuSaputra-p6q,"Investasi sumber daya manusia, haahhh..?",3 weeks ago,0
@SlashM3tal,"Namanye berubah donk jadi MBP, Makan Begizi (di)Pajak. Gak gratis lage. Mana berani si Wowo... 🥸",3 weeks ago,3
@adrianfadly5957,"Betul.

Betul betul sesat ente 😅",3 weeks ago,2
@lianguanlianguan355, @tomodachidisco  berarti pemerintah melanggar UU Pendidikan,3 weeks ago,6
@APBNdefisit_pajakdown,"Dampak negatif MBG bagi ekonomi & sosial =
1. Defisit APBN semakin dalam
2. Hutang Negara semakin naik
3. Pemborosan Sistematis
4. Mbg malay 2.9 T vs franc 25 T, india 21 T & konoha 335 T pertahun
5. Penyebab kenaikan tarif pajak & menjadi penyebab penambahan object pajak
6. Mematikan rezeki pedagang kecil yang jual disekolah
7.Dapur MBG blm bersertifikat HACCP
8.Membuat program utama prioritas terbengkalai
9.Ladang basah bagi koruptor & rawan bocor
10.Keamanan pangan kurang terjamin karena dapur mbg belum bersertifikat internasional.
11.Dana Transfer ke daerah menjadi menurun & menyebabkan kenaikan PBB di berbagai daerah
12.Dampak Keracunan massal yang minim empati dr pejabat, pemerintah lepas tangan atas peristiwa keracunan masal & tetap menggeber program MBG dgn segala resikonya
13.Hanya memperkaya orang orang kaya saja yakni pemilik SPPG. Tidak menyelesaikan akar persoalan bangsa yaitu Kemiskinan, Pengangguran, SDM, Infrastruktur, Jaminan Sosial , Malnutrisi,Ketahanan Pangan, Pemberantasan Judi Online,Korupsi dll",3 weeks ago,3
@mediagaming2318," @tomodachidisco  saya lebih setuju buat mbg drpd pendidikan, karena byk yg dikasih subsidi pendidikan tp gk pinter"" rakyatnya haha",3 weeks ago,0
@tomodachidisco,​ @mediagaming2318  logical fallacy,3 weeks ago,3
@hwarakadah5963,"Kesehatan gratis, pendidikan gratis... 😢",3 weeks ago,0
@jonashikari868,"DPR mana bisa evaluasi MBG, krna sebagian besar SPPG dimiliki oleh para politisi pendukung pemerintah.",3 weeks ago,7
@zukhorizukhori1957,"Trmksh tempo, yg sll menghadirkan informasi² yang mencerdaskam maayarakat. smg tempo semakin jaya.",3 weeks ago,69
@APBNdefisit_pajakdown,"Dampak negatif MBG bagi ekonomi & sosial =
1. Defisit APBN semakin dalam
2. Hutang Negara semakin naik
3. Pemborosan Sistematis
4. Mbg malay 2.9 T vs franc 25 T, india 21 T & konoha 335 T pertahun
5. Penyebab kenaikan tarif pajak & menjadi penyebab penambahan object pajak
6. Mematikan rezeki pedagang kecil yang jual disekolah
7.Dapur MBG blm bersertifikat HACCP
8.Membuat program utama prioritas terbengkalai
9.Ladang basah bagi koruptor & rawan bocor
10.Keamanan pangan kurang terjamin karena dapur mbg belum bersertifikat internasional.
11.Dana Transfer ke daerah menjadi menurun & menyebabkan kenaikan PBB di berbagai daerah
12.Dampak Keracunan massal yang minim empati dr pejabat, pemerintah lepas tangan atas peristiwa keracunan masal & tetap menggeber program MBG dgn segala resikonya
13.Hanya memperkaya orang orang kaya saja yakni pemilik SPPG. Tidak menyelesaikan akar persoalan bangsa yaitu Kemiskinan, Pengangguran, SDM, Infrastruktur, Jaminan Sosial , Malnutrisi,Ketahanan Pangan, Pemberantasan Judi Online,Korupsi dll",3 weeks ago,2
@Utang10.000T_bangkrut,"Proyek KKN BGN (badan garong nasional) dibackup mati matian oleh rezim. Anggota DPR, Polri, TNI & Kejaksaan sengaja dilibatkan agar proyek ini tidak ada yang mengendus apalagi mengacak acak. Buktinya 33.000 angka keracunan tak ada satupun pihak yang bertanggung jawab serta diproses hukum*,, *kalau terjadi dijepang misal ada 100 siswa-siswi  keracunan maka minimal seorang Menteri mengundurkan diri, & pemilik dapur sudah diblacklist total. akan tetapi berbeda di konoha, para oknum pejabat saling membackup agar proyek ini jalan terus",11 days ago,1
